epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.2175,0.91957,4.2383,0.86947,0.00828,0.33607,0.01291,0.00763,0.6699,4.02243,0.78989,7.5e-05,7.5e-05,7.5e-05
2,52.4345,0.91335,2.88437,0.85041,0.02093,0.44373,0.24285,0.19147,0.66741,3.80222,0.78292,0.000159282,0.000159282,0.000159282
3,71.5973,0.88977,1.32428,0.81899,0.04502,0.61639,0.46822,0.37791,0.6657,3.41115,0.78516,0.0002401,0.0002401,0.0002401
4,92.94,0.78897,1.09744,0.83226,0.04263,0.64851,0.45816,0.36084,0.65251,3.28787,0.79236,0.000317452,0.000317452,0.000317452
5,113.409,0.81544,1.09884,0.82657,0.03597,0.6128,0.44271,0.35119,0.69856,3.25561,0.793,0.00039134,0.00039134,0.00039134
6,132.236,0.78888,1.02157,0.84309,0.0292,0.58813,0.42171,0.34763,0.71123,3.20181,0.7934,0.000461763,0.000461763,0.000461763
7,150.726,0.80178,0.99398,0.83917,0.02655,0.64877,0.41396,0.34055,0.7015,3.13777,0.79626,0.00052872,0.00052872,0.00052872
8,169.139,0.74414,0.94089,0.83188,0.02875,0.69553,0.47001,0.36028,0.66657,3.02986,0.79372,0.000592213,0.000592213,0.000592213
9,188.572,0.74938,0.87902,0.84072,0.03505,0.79959,0.60705,0.46435,0.74651,2.71286,0.80157,0.00065224,0.00065224,0.00065224
10,208.984,0.79439,0.88161,0.83769,0.87999,0.18359,0.66421,0.5002,0.71148,2.53047,0.79771,0.000708803,0.000708803,0.000708803
11,227.846,0.73508,0.88523,0.83413,0.88589,0.18745,0.6252,0.4814,0.72488,2.47379,0.80007,0.0007619,0.0007619,0.0007619
12,248.515,0.7644,0.85113,0.82517,0.87435,0.34504,0.6839,0.51987,0.74571,2.09627,0.80634,0.000811533,0.000811533,0.000811533
13,269.081,0.81424,0.8656,0.83795,0.86664,0.36516,0.69861,0.53421,0.70467,2.01618,0.8022,0.0008577,0.0008577,0.0008577
14,290.101,0.75321,0.81696,0.83335,0.89459,0.43062,0.68921,0.55188,0.71146,1.85828,0.80285,0.000900402,0.000900402,0.000900402
15,313.118,0.77426,0.83843,0.85047,0.83349,0.48792,0.70646,0.57513,0.69086,1.68543,0.79988,0.0009035,0.0009035,0.0009035
16,336.337,0.72782,0.81903,0.8255,0.96385,0.55386,0.75688,0.61837,0.65565,1.35928,0.7963,0.00087875,0.00087875,0.00087875
17,359.458,0.71098,0.76895,0.8261,0.95847,0.57256,0.76022,0.62324,0.6696,1.27793,0.79951,0.000854,0.000854,0.000854
18,383.688,0.685,0.74009,0.82324,0.9507,0.61621,0.79781,0.65647,0.63847,1.2078,0.79445,0.00082925,0.00082925,0.00082925
19,403.689,0.6686,0.74551,0.8107,0.90796,0.66393,0.78925,0.65384,0.64417,0.94047,0.7938,0.0008045,0.0008045,0.0008045
20,422.237,0.68325,0.72502,0.82193,0.8259,0.71675,0.79783,0.67849,0.58441,0.8183,0.78964,0.00077975,0.00077975,0.00077975
21,439.777,0.71629,0.73094,0.83384,0.82769,0.68129,0.79621,0.6677,0.61077,0.82198,0.79319,0.000755,0.000755,0.000755
22,457.221,0.65128,0.7255,0.80927,0.92704,0.66039,0.78842,0.66534,0.60169,0.81026,0.79318,0.00073025,0.00073025,0.00073025
23,474.568,0.64988,0.70351,0.82052,0.87929,0.70683,0.78631,0.66655,0.5762,0.77395,0.7879,0.0007055,0.0007055,0.0007055
24,493.196,0.60896,0.7267,0.80588,0.7335,0.75861,0.77553,0.66075,0.57918,0.74154,0.786,0.00068075,0.00068075,0.00068075
