epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
25,515.126,0.62155,0.65692,0.82223,0.70828,0.75694,0.76747,0.65273,0.57664,0.74781,0.78295,0.000656,0.000656,0.000656
26,536.732,0.65517,0.70084,0.8233,0.80541,0.76773,0.80318,0.69149,0.57078,0.6648,0.78196,0.00063125,0.00063125,0.00063125
27,555.005,0.62785,0.6623,0.81448,0.88141,0.7176,0.79268,0.6851,0.56002,0.67001,0.78257,0.0006065,0.0006065,0.0006065
28,572.552,0.64581,0.6361,0.81387,0.94528,0.70399,0.8126,0.67952,0.58548,0.664,0.7843,0.00058175,0.00058175,0.00058175
29,590.144,0.62028,0.64363,0.8046,0.87733,0.76106,0.83659,0.70933,0.57645,0.64331,0.78386,0.000557,0.000557,0.000557
30,607.811,0.64626,0.65422,0.82424,0.89373,0.74366,0.83175,0.69855,0.57043,0.6503,0.78309,0.00053225,0.00053225,0.00053225
31,625.512,0.60385,0.66828,0.81473,0.76324,0.82907,0.85334,0.7231,0.57791,0.69537,0.7842,0.0005075,0.0005075,0.0005075
32,643.179,0.64704,0.67064,0.81079,0.76066,0.83423,0.84464,0.69249,0.56593,0.71435,0.78526,0.00048275,0.00048275,0.00048275
33,660.92,0.61334,0.65875,0.80553,0.90739,0.69395,0.80878,0.68451,0.57312,0.70969,0.78595,0.000458,0.000458,0.000458
34,678.483,0.60067,0.64091,0.81377,0.85549,0.68417,0.79587,0.66063,0.5688,0.66591,0.7834,0.00043325,0.00043325,0.00043325
35,696.468,0.6048,0.62309,0.80988,0.7887,0.6999,0.77242,0.64634,0.56536,0.64489,0.78333,0.0004085,0.0004085,0.0004085
36,714.25,0.59747,0.62189,0.80878,0.92484,0.6631,0.79497,0.6793,0.56598,0.63191,0.7847,0.00038375,0.00038375,0.00038375
37,732.091,0.60378,0.59526,0.80552,0.7406,0.75542,0.78219,0.66892,0.55402,0.61866,0.78369,0.000359,0.000359,0.000359
38,749.606,0.59683,0.64875,0.80862,0.87806,0.67958,0.78169,0.65979,0.55653,0.59829,0.7804,0.00033425,0.00033425,0.00033425
39,767.135,0.60677,0.5971,0.80368,0.73821,0.834,0.82248,0.70791,0.56837,0.60683,0.78055,0.0003095,0.0003095,0.0003095
40,785.406,0.59377,0.5932,0.81112,0.83674,0.75438,0.82472,0.70616,0.5639,0.5997,0.78293,0.00028475,0.00028475,0.00028475
41,803.981,0.59147,0.7221,0.80383,0.79675,0.76413,0.82662,0.70135,0.5731,0.60534,0.78384,0.00026,0.00026,0.00026
42,821.99,0.56907,0.68322,0.80401,0.82097,0.8062,0.8438,0.70247,0.57876,0.62478,0.78386,0.00023525,0.00023525,0.00023525
43,840.912,0.5956,0.6775,0.80455,0.86009,0.78186,0.8331,0.71861,0.56887,0.6177,0.7822,0.0002105,0.0002105,0.0002105
44,859.085,0.60097,0.66212,0.8107,0.78954,0.82044,0.81805,0.70165,0.56835,0.60853,0.78207,0.00018575,0.00018575,0.00018575
45,877.031,0.5888,0.67411,0.8099,0.74865,0.7641,0.80454,0.68293,0.57324,0.60069,0.78206,0.000161,0.000161,0.000161
46,894.669,0.5655,0.64092,0.80599,0.7021,0.84995,0.81475,0.69102,0.56284,0.58694,0.7814,0.00013625,0.00013625,0.00013625
47,911.83,0.5769,0.63601,0.81696,0.75566,0.84267,0.81694,0.70175,0.56546,0.58636,0.78261,0.0001115,0.0001115,0.0001115
48,928.989,0.53398,0.61556,0.81027,0.79377,0.7464,0.82722,0.71038,0.57485,0.59025,0.78369,8.675e-05,8.675e-05,8.675e-05
49,946.224,0.55702,0.65441,0.79516,0.74378,0.80054,0.82126,0.6965,0.57613,0.59166,0.78372,6.2e-05,6.2e-05,6.2e-05
50,963.397,0.56092,0.63488,0.81002,0.7268,0.81783,0.81991,0.70345,0.5724,0.5861,0.78374,3.725e-05,3.725e-05,3.725e-05
