Model,Val Accuracy,Test Accuracy
Random Forest,0.9957356076759062,0.9914893617021276
SVM,0.9573560767590619,0.9659574468085106
KNN,0.9957356076759062,0.9957446808510638
Decision Tree,0.9872068230277186,0.9914893617021276
